city,client_id
Анапа,8
Ангарск,3
Армавир,7
Архангельск,2
Аскарово,1
Аскино,1
Баймак,4
Барнаул,5
Белгород,11
Белебей,12
Белово,4
Белорецк,23
Березники,1
Бийск,7
Бирск,12
Благовещенск,13
Боровичи,3
Брянск,31
Бураево,1
Великий Новгород,6
Верхнеяркеево,2
Верхние Татышлы,3
Владимир,18
Волгоград,8
Вологда,6
Вольск,6
Воронеж,9
Воскресенск,3
Воткинск,1
Геленджик,4
Глазов,1
Гусь-Хрустальный,8
Давлеканово,9
Дзержинск,7
Дубна,6
Дюртюли,8
Ейск,19
Екатеринбург,44
Жуковский,6
Зилаир,1
Златоуст,5
Иглино,2
Ижевск,15
Иркутск,9
Исянгулово,1
Ишимбай,15
Казань,13
Калининград,14
Калтан,2
Каневская,1
Караидель,4
Кемерово,30
Киргиз-Мияки,1
Киселёвск,8
Клинцы,12
Ковров,12
Кореновск,2
Краснодар,89
Красноусольский,3
Красноярск,10
Кропоткин,11
Кумертау,11
Кунгур,10
Курган,6
Курганинск,1
Липецк,3
Магнитогорск,5
Мегион,4
Междуреченск,1
Мелеуз,12
Месягутово,11
Миасс,2
Москва,173
Мраково,1
Муром,1
Набережные Челны,7
Надым,7
Нефтекамск,20
Нижневартовск,10
Нижний Новгород,27
Новокузнецк,11
Новороссийск,9
Новосибирск,41
Одинцово,5
Октябрьский,21
Омск,30
Орёл,18
Осинники,10
Пенза,3
Пермь,28
Петрозаводск,8
Покров,2
Прокопьевск,7
Пятигорск,9
Раевский,10
Раменское,4
Рославль,3
Ростов-на-Дону,28
Рязань,11
Салават,29
Самара,11
Санкт-Петербург,85
Сарапул,2
Саратов,22
Светлый,4
Серафимовский,1
Сергиев Посад,4
Серпухов,4
Сибай,19
Смоленск,20
Сочи,15
Ставрополь,12
Старобалтачево,4
Старосубхангулово,5
Старый Оскол,5
Стерлибашево,8
Стерлитамак,61
Сургут,6
Таганрог,4
Тамбов,2
Тверь,5
Тимашевск,3
Толбазы,6
Томск,11
Туапсе,8
Туймазы,15
Тула,19
Тюмень,17
Ульяновск,5
Уфа,223
Учалы,14
Федоровка,3
Химки,7
Челябинск,25
Череповец,2
Чишмы,8
Чусовой,2
Юрга,10
Языково,1
Янаул,11
Ярославль,6
